league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Wolves,Tom King,,,29.0,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ENG-Premier League,2425,Wolves,Tommy Doyle,,,22.0,2001.0,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
ENG-Premier League,2425,Wolves,Toti Gomes,,,25.0,1999.0,29.0,7,0,0,24,15,4,13,25,43,0,1,0,116,53,26,67.1
ENG-Premier League,2425,Wolves,Yerson Mosquera,,,23.0,2001.0,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7
ESP-La Liga,2425,Alavés,Abdel Abqar,,,25.0,1999.0,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
ESP-La Liga,2425,Alavés,Abderrahman Rebbach,,,25.0,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3
ESP-La Liga,2425,Alavés,Adrian Rodriguez,,,23.0,2000.0,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,,,32.0,1991.0,6.6,1,1,0,9,5,0,0,10,10,0,0,0,18,9,6,60.0
ESP-La Liga,2425,Alavés,Ander Guevara,,,27.0,1997.0,21.6,3,0,0,39,18,0,5,14,30,0,0,0,120,30,39,43.5
ESP-La Liga,2425,Alavés,Antonio Blanco,,,24.0,2000.0,30.3,11,1,1,66,27,0,29,42,40,0,0,0,164,28,35,44.4
ESP-La Liga,2425,Alavés,Antonio Sivera,,,27.0,1996.0,31.2,6,1,0,4,5,0,0,0,1,0,3,1,21,5,1,83.3
ESP-La Liga,2425,Alavés,Asier Villalibre,,,26.0,1997.0,3.7,2,0,0,11,7,2,2,1,2,0,0,0,7,22,12,64.7
ESP-La Liga,2425,Alavés,Carles Aleñá,,,26.0,1998.0,12.1,1,0,0,11,24,0,31,2,12,0,0,0,47,9,6,60.0
ESP-La Liga,2425,Alavés,Carlos Benavídez,,,26.0,1998.0,5.4,3,0,0,18,6,1,1,8,14,0,0,0,32,8,7,53.3
ESP-La Liga,2425,Alavés,Carlos Martín,,,22.0,2002.0,14.8,3,0,0,32,28,6,24,5,21,0,0,0,55,15,19,44.1
ESP-La Liga,2425,Alavés,Carlos Vicente,,,25.0,1999.0,34.4,3,0,0,38,62,10,269,14,31,0,0,0,133,34,60,36.2
ESP-La Liga,2425,Alavés,Facundo Garcés,,,24.0,1999.0,7.5,2,0,0,7,2,0,1,5,2,0,1,0,14,13,14,48.1
ESP-La Liga,2425,Alavés,Hugo Novoa,,,21.0,2003.0,2.6,0,0,0,1,1,2,7,0,5,0,0,0,9,1,8,11.1
ESP-La Liga,2425,Alavés,Jesús Owono,,,23.0,2001.0,5.4,0,0,0,1,2,0,0,0,1,0,1,0,3,0,0,
ESP-La Liga,2425,Alavés,Joan Jordán,,,30.0,1994.0,15.7,4,0,0,28,11,1,106,9,18,0,0,0,61,16,13,55.2
ESP-La Liga,2425,Alavés,Jon Guridi,,,29.0,1995.0,23.1,6,0,0,35,14,5,17,14,22,0,1,0,86,47,66,41.6
ESP-La Liga,2425,Alavés,Kiké,,,34.0,1989.0,28.2,5,1,1,49,59,22,13,1,14,1,0,0,90,110,100,52.4
ESP-La Liga,2425,Alavés,Luis Rioja,,,30.0,1993.0,0.3,0,0,0,1,1,0,6,0,1,0,0,0,1,0,0,
ESP-La Liga,2425,Alavés,Luka Romero,,,19.0,2004.0,2.2,0,0,0,3,3,1,10,1,4,1,0,0,9,2,4,33.3
ESP-La Liga,2425,Alavés,Manu Sánchez,,,23.0,2000.0,29.3,6,1,0,56,21,1,78,30,56,0,1,1,105,8,32,20.0
ESP-La Liga,2425,Alavés,Moussa Diarra,,,23.0,2000.0,20.7,6,0,0,28,24,1,23,21,24,1,1,0,76,31,29,51.7
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,,,28.0,1996.0,32.5,11,0,0,37,45,2,85,47,61,3,0,0,117,46,52,46.9
ESP-La Liga,2425,Alavés,Pau Cabanes,,,19.0,2005.0,2.1,1,0,0,5,5,0,12,0,2,0,0,0,11,1,3,25.0
ESP-La Liga,2425,Alavés,Pica,,,22.0,2002.0,5.5,1,0,0,6,3,0,2,9,7,0,0,0,13,18,11,62.1
ESP-La Liga,2425,Alavés,Santiago Mouriño,,,22.0,2002.0,20.5,7,0,0,32,23,1,4,29,28,1,0,0,85,38,28,57.6
ESP-La Liga,2425,Alavés,Stoichkov,,,30.0,1993.0,7.8,1,0,0,9,16,5,13,1,9,0,0,0,44,5,15,25.0
ESP-La Liga,2425,Alavés,Tomás Conechny,,,26.0,1998.0,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5
ESP-La Liga,2425,Alavés,Toni Martínez,,,27.0,1997.0,11.2,1,0,0,17,13,8,7,1,7,0,1,0,30,79,68,53.7
ESP-La Liga,2425,Athletic Club,Adama Boiro,,,22.0,2002.0,12.2,3,0,0,13,8,1,31,12,11,0,0,0,45,16,9,64.0
ESP-La Liga,2425,Athletic Club,Adu Ares,,,22.0,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,,,18.0,2005.0,0.6,0,0,0,1,0,0,4,1,0,0,0,0,4,1,0,100.0
ESP-La Liga,2425,Athletic Club,Aitor Paredes,,,24.0,2000.0,20.1,4,1,1,23,6,0,1,22,13,0,1,0,62,30,29,50.8
ESP-La Liga,2425,Athletic Club,Alex Padilla,,,20.0,2003.0,3.6,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,100.0
ESP-La Liga,2425,Athletic Club,Ander Herrera,,,34.0,1989.0,3.0,2,0,0,6,3,0,1,2,4,0,0,0,14,3,2,60.0
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,,,27.0,1996.0,16.5,5,0,0,24,4,1,41,18,28,0,0,0,56,20,28,41.7
ESP-La Liga,2425,Athletic Club,Beñat Prados,,,23.0,2001.0,19.1,7,0,0,40,15,0,9,28,36,0,0,0,91,29,22,56.9
ESP-La Liga,2425,Athletic Club,Daniel Vivian,,,25.0,1999.0,29.0,3,0,0,27,21,1,8,47,26,0,1,0,164,43,31,58.1
ESP-La Liga,2425,Athletic Club,Endika Buján,,,21.0,2003.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,,,27.0,1996.0,20.4,2,0,0,40,21,7,5,9,8,0,0,0,61,36,69,34.3
ESP-La Liga,2425,Athletic Club,Iñaki Williams,,,30.0,1994.0,29.5,1,0,0,22,39,17,115,12,10,1,0,0,87,30,20,60.0
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,,,31.0,1993.0,8.6,1,0,0,5,2,0,16,9,12,0,0,0,39,6,2,75.0
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,,,30.0,1993.0,16.4,5,0,0,43,17,1,29,16,22,0,0,0,120,8,12,40.0
ESP-La Liga,2425,Athletic Club,Javi Martón,,,25.0,1999.0,0.6,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,66.7
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,,,23.0,2000.0,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,,,23.0,2001.0,8.4,0,0,0,20,30,7,6,1,0,1,0,0,24,14,17,45.2
ESP-La Liga,2425,Athletic Club,Mikel Jauregizar,,,20.0,2003.0,24.9,4,1,0,46,42,0,27,29,48,1,0,0,144,34,35,49.3
ESP-La Liga,2425,Athletic Club,Mikel Vesga,,,31.0,1993.0,11.0,1,0,0,14,4,0,8,15,15,0,0,0,66,25,16,61.0
ESP-La Liga,2425,Athletic Club,Nico Williams,,,22.0,2002.0,22.2,1,0,0,17,35,10,107,7,18,0,0,0,96,11,17,39.3
ESP-La Liga,2425,Athletic Club,Nicolás Serrano,,,21.0,2003.0,1.2,0,0,0,2,2,0,13,1,1,0,0,0,3,0,2,0.0
ESP-La Liga,2425,Athletic Club,Oihan Sancet,,,24.0,2000.0,18.0,2,0,0,16,24,5,18,5,8,0,0,0,77,12,13,48.0
ESP-La Liga,2425,Athletic Club,Peio Canales,,,19.0,2005.0,2.9,0,0,0,1,2,1,16,2,2,0,0,0,17,0,3,0.0
ESP-La Liga,2425,Athletic Club,Unai Gómez,,,21.0,2003.0,14.3,1,0,0,12,18,0,23,2,8,0,0,0,42,29,31,48.3
ESP-La Liga,2425,Athletic Club,Unai Núñez,,,27.0,1997.0,7.2,4,0,0,10,5,1,0,17,5,0,0,0,28,13,12,52.0
ESP-La Liga,2425,Athletic Club,Unai Simón,,,27.0,1997.0,21.0,0,0,0,0,3,0,0,1,0,0,0,0,33,6,0,100.0
ESP-La Liga,2425,Athletic Club,Yeray Álvarez,,,29.0,1995.0,19.8,4,0,0,15,15,0,3,34,13,0,0,0,83,49,42,53.8
ESP-La Liga,2425,Athletic Club,Yuri Berchiche,,,34.0,1990.0,22.7,5,0,0,18,19,4,42,27,21,0,1,0,121,28,20,58.3
ESP-La Liga,2425,Athletic Club,Álex Berenguer,,,29.0,1995.0,26.0,5,0,0,29,30,5,178,10,16,2,0,0,113,27,50,35.1
ESP-La Liga,2425,Athletic Club,Álvaro djaló,,,24.0,1999.0,7.3,2,0,0,19,14,5,14,1,5,0,0,0,28,10,19,34.5
ESP-La Liga,2425,Athletic Club,Óscar de Marcos,,,35.0,1989.0,17.4,0,0,0,16,5,1,55,16,15,0,0,0,89,8,12,40.0
ESP-La Liga,2425,Atlético Madrid,Adrian Niño,,,20.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
ESP-La Liga,2425,Atlético Madrid,Alexander Sørloth,,,28.0,1995.0,17.4,4,0,0,26,13,8,5,1,5,0,0,0,41,98,50,66.2
ESP-La Liga,2425,Atlético Madrid,Antoine Griezmann,,,33.0,1991.0,27.4,2,0,0,11,26,14,138,6,17,0,0,0,93,21,23,47.7
ESP-La Liga,2425,Atlético Madrid,Axel Witsel,,,35.0,1989.0,9.5,1,0,0,4,5,1,0,11,12,0,0,0,32,23,16,59.0
ESP-La Liga,2425,Atlético Madrid,Clément Lenglet,,,29.0,1995.0,21.9,9,0,0,29,19,2,4,22,17,0,2,0,74,37,38,49.3
ESP-La Liga,2425,Atlético Madrid,Conor Gallagher,,,24.0,2000.0,18.1,2,0,0,32,39,1,13,20,32,1,0,0,107,9,21,30.0
ESP-La Liga,2425,Atlético Madrid,César Azpilicueta,,,34.0,1989.0,9.7,1,0,0,8,6,3,5,5,14,0,0,0,28,14,14,50.0
ESP-La Liga,2425,Atlético Madrid,Giuliano Simeone,,,21.0,2002.0,21.4,4,0,0,23,42,7,49,14,13,1,0,0,72,11,23,32.4
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,,,31.0,1993.0,36.0,0,0,0,0,2,0,0,0,0,0,0,0,29,3,0,100.0
ESP-La Liga,2425,Atlético Madrid,Javi Galán,,,29.0,1994.0,19.8,8,0,0,38,35,4,57,12,31,0,1,0,71,25,25,50.0
ESP-La Liga,2425,Atlético Madrid,José María Giménez,,,29.0,1995.0,22.2,5,0,0,13,12,0,0,27,16,0,0,1,78,38,37,50.7
ESP-La Liga,2425,Atlético Madrid,Juan Musso,,,30.0,1994.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,,,24.0,2000.0,27.9,5,0,0,26,9,9,69,2,17,0,0,0,75,13,31,29.5
ESP-La Liga,2425,Atlético Madrid,Koke,,,32.0,1992.0,21.4,4,0,0,23,16,0,22,20,23,0,0,1,122,8,9,47.1
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,,,29.0,1995.0,27.9,0,1,0,23,25,4,62,27,52,1,0,0,131,15,15,50.0
ESP-La Liga,2425,Atlético Madrid,Nahuel Molina,,,26.0,1998.0,17.7,1,0,0,13,8,4,55,13,19,0,0,0,66,10,12,45.5
ESP-La Liga,2425,Atlético Madrid,Pablo Barrios,,,21.0,2003.0,25.9,4,1,0,28,27,0,26,34,26,0,0,0,131,35,21,62.5
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,,,30.0,1994.0,10.5,4,0,0,19,18,1,8,16,11,0,1,0,52,10,14,41.7
ESP-La Liga,2425,Atlético Madrid,Robin Le Normand,,,27.0,1996.0,23.9,8,0,0,35,24,3,1,10,18,0,1,0,82,54,39,58.1
ESP-La Liga,2425,Atlético Madrid,Rodrigo De Paul,,,30.0,1994.0,23.4,7,0,0,19,49,0,59,6,26,0,0,0,128,4,7,36.4
ESP-La Liga,2425,Atlético Madrid,Rodrigo Riquelme,,,24.0,2000.0,5.7,0,0,0,8,8,4,34,2,5,0,0,0,21,3,3,50.0
ESP-La Liga,2425,Atlético Madrid,Samuel Lino,,,24.0,1999.0,17.2,3,0,0,15,30,3,41,8,17,1,0,0,85,13,12,52.0
ESP-La Liga,2425,Atlético Madrid,Thomas Lemar,,,28.0,1995.0,0.9,0,0,0,1,2,0,3,0,1,0,0,0,3,0,1,0.0
ESP-La Liga,2425,Atlético Madrid,Ángel Correa,,,29.0,1995.0,8.9,3,1,0,18,11,4,24,4,3,0,0,0,40,1,8,11.1
ESP-La Liga,2425,Barcelona,Alejandro Balde,,,20.0,2003.0,25.4,2,0,0,16,37,0,67,5,10,0,0,0,122,16,9,64.0
ESP-La Liga,2425,Barcelona,Andreas Christensen,,,28.0,1996.0,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6
ESP-La Liga,2425,Barcelona,Ansu Fati,,,21.0,2002.0,2.6,1,0,0,2,2,2,0,1,1,0,0,0,7,2,7,22.2
ESP-La Liga,2425,Barcelona,Dani Olmo,,,26.0,1998.0,13.5,1,0,0,21,27,1,21,3,11,3,0,0,46,9,9,50.0
ESP-La Liga,2425,Barcelona,Daniel Rodriguez,,,18.0,2005.0,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
ESP-La Liga,2425,Barcelona,Eric García,,,23.0,2001.0,17.4,4,0,0,20,8,0,7,14,21,0,0,0,54,27,25,51.9
ESP-La Liga,2425,Barcelona,Fermin López,,,21.0,2003.0,13.9,4,1,0,27,21,5,47,5,15,0,0,0,66,9,18,33.3
ESP-La Liga,2425,Barcelona,Ferrán Torres,,,24.0,2000.0,12.3,1,1,0,5,16,6,17,4,4,0,0,0,27,5,9,35.7
ESP-La Liga,2425,Barcelona,Frenkie de Jong,,,27.0,1997.0,12.7,3,0,0,14,18,0,6,12,11,0,1,0,57,10,7,58.8
ESP-La Liga,2425,Barcelona,Gavi,,,19.0,2004.0,12.1,4,0,0,38,26,1,9,10,21,0,0,0,61,21,26,44.7
ESP-La Liga,2425,Barcelona,Gerard Martín,,,22.0,2002.0,11.5,2,0,0,14,9,0,36,13,10,0,0,0,42,14,6,70.0
ESP-La Liga,2425,Barcelona,Héctor Fort,,,17.0,2006.0,6.5,2,0,0,8,1,0,12,6,8,0,0,0,32,3,7,30.0
ESP-La Liga,2425,Barcelona,Iñaki Peña,,,25.0,1999.0,15.5,1,0,0,0,0,0,0,0,0,0,0,0,65,1,0,100.0
ESP-La Liga,2425,Barcelona,Iñigo Martínez,,,33.0,1991.0,27.7,5,0,0,18,28,0,8,18,14,1,0,0,126,58,33,63.7
ESP-La Liga,2425,Barcelona,Jules Koundé,,,25.0,1998.0,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6
ESP-La Liga,2425,Barcelona,Lamine Yamal,,,17.0,2007.0,31.7,3,0,0,30,60,13,108,16,28,2,0,0,123,1,3,25.0
ESP-La Liga,2425,Barcelona,Marc Bernal,,,17.0,2007.0,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3
ESP-La Liga,2425,Barcelona,Marc Casado,,,20.0,2003.0,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,,,32.0,1992.0,7.5,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,100.0
ESP-La Liga,2425,Barcelona,Pablo Torre,,,21.0,2003.0,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3
ESP-La Liga,2425,Barcelona,Pau Cubarsí,,,17.0,2007.0,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5
ESP-La Liga,2425,Barcelona,Pau Victor,,,22.0,2001.0,3.5,2,0,0,7,3,0,3,2,1,0,0,0,14,3,1,75.0
ESP-La Liga,2425,Barcelona,Pedri,,,21.0,2002.0,32.0,3,0,0,10,51,2,58,26,34,0,0,0,254,7,6,53.8
ESP-La Liga,2425,Barcelona,Raphinha,,,27.0,1996.0,31.5,4,0,0,11,37,10,215,11,22,2,0,0,94,9,6,60.0
ESP-La Liga,2425,Barcelona,Robert Lewandowski,,,35.0,1988.0,29.6,1,0,0,30,39,17,5,3,5,0,0,0,45,37,39,48.7
ESP-La Liga,2425,Barcelona,Ronald Araújo,,,25.0,1999.0,8.4,3,0,0,9,4,0,0,9,9,0,0,0,27,33,20,62.3
ESP-La Liga,2425,Barcelona,Sergi Dominguez,,,19.0,2005.0,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,,,34.0,1990.0,15.0,0,0,0,1,1,0,0,0,1,0,1,0,52,0,0,
ESP-La Liga,2425,Betis,Abde Ezzalzouli,,,22.0,2001.0,22.0,2,0,0,23,38,4,49,7,25,2,0,0,102,26,37,41.3
ESP-La Liga,2425,Betis,Adrián,,,37.0,1987.0,19.0,3,0,0,0,4,0,0,0,0,0,0,0,20,2,1,66.7
ESP-La Liga,2425,Betis,Aitor Ruibal,,,28.0,1996.0,14.6,5,0,0,10,18,2,32,14,23,0,0,0,71,7,13,35.0
ESP-La Liga,2425,Betis,Antony,,,24.0,2000.0,15.1,2,1,0,15,27,1,40,10,11,1,0,0,73,5,14,26.3
ESP-La Liga,2425,Betis,Assane Diao,,,18.0,2005.0,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1
ESP-La Liga,2425,Betis,Carlos Guirao,,,21.0,2003.0,1.2,0,0,0,4,0,0,0,3,3,0,0,0,6,2,1,66.7
ESP-La Liga,2425,Betis,Cucho,,,25.0,1999.0,12.7,0,0,0,10,9,5,12,7,10,1,0,0,28,29,35,45.3
ESP-La Liga,2425,Betis,Cédric Bakambu,,,33.0,1991.0,7.9,4,0,0,23,7,12,2,0,4,1,0,0,25,12,26,31.6
ESP-La Liga,2425,Betis,Diego Llorente,,,30.0,1993.0,28.0,4,0,0,20,23,0,1,43,20,0,1,1,93,77,45,63.1
ESP-La Liga,2425,Betis,Ezequiel Ávila,,,30.0,1994.0,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9
ESP-La Liga,2425,Betis,Fran Vieites,,,25.0,1999.0,4.0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,100.0
ESP-La Liga,2425,Betis,Giovani Lo Celso,,,28.0,1996.0,16.2,4,0,0,13,63,0,95,5,22,0,0,0,76,5,11,31.3
ESP-La Liga,2425,Betis,Héctor Bellerín,,,29.0,1995.0,6.4,1,0,0,6,0,0,10,6,7,0,0,0,13,6,7,46.2
ESP-La Liga,2425,Betis,Iker Losada,,,22.0,2001.0,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9
ESP-La Liga,2425,Betis,Isco,,,32.0,1992.0,17.2,5,0,0,23,44,4,92,11,13,0,0,0,71,13,21,38.2
ESP-La Liga,2425,Betis,Jesus Rodríguez,,,18.0,2005.0,12.3,0,0,0,17,38,2,18,6,14,1,0,0,58,3,8,27.3
ESP-La Liga,2425,Betis,Johnny Cardoso,,,22.0,2001.0,23.8,4,0,0,38,27,0,3,48,31,0,0,0,138,29,18,61.7
ESP-La Liga,2425,Betis,Juanmi,,,31.0,1993.0,2.7,2,0,0,6,7,1,1,1,4,0,0,0,14,6,1,85.7
ESP-La Liga,2425,Betis,Marc Bartra,,,33.0,1991.0,23.3,2,0,0,15,14,2,1,33,19,0,1,0,88,50,42,54.3
ESP-La Liga,2425,Betis,Marc Roca,,,27.0,1996.0,10.1,4,0,0,16,5,0,10,14,14,0,0,0,51,5,13,27.8
ESP-La Liga,2425,Betis,Mateo Flores,,,20.0,2004.0,1.7,1,0,0,4,1,0,1,2,1,0,0,0,12,0,2,0.0
ESP-La Liga,2425,Betis,Nabil Fekir,,,31.0,1993.0,2.0,0,0,0,3,7,0,10,0,2,0,0,0,3,0,2,0.0
ESP-La Liga,2425,Betis,Natan,,,23.0,2001.0,24.2,5,1,0,19,13,0,2,28,24,0,0,0,75,65,30,68.4
ESP-La Liga,2425,Betis,Nobel Mendy,,,19.0,2004.0,1.2,1,0,0,1,1,0,0,4,0,0,0,0,7,1,0,100.0
ESP-La Liga,2425,Betis,Pablo Fornals,,,28.0,1996.0,20.3,2,0,0,12,14,3,54,23,13,0,0,0,114,18,21,46.2
ESP-La Liga,2425,Betis,Pablo Garcia,,,17.0,2006.0,0.4,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,
ESP-La Liga,2425,Betis,Ricardo Rodríguez,,,31.0,1992.0,14.2,0,0,0,12,6,0,15,8,15,0,0,0,55,27,17,61.4
ESP-La Liga,2425,Betis,Rodri,,,24.0,2000.0,1.3,0,0,0,2,2,1,6,1,1,0,0,0,10,0,2,0.0
ESP-La Liga,2425,Betis,Romain Perraud,,,26.0,1997.0,22.2,8,1,0,26,44,5,71,22,22,0,1,0,95,9,17,34.6
ESP-La Liga,2425,Betis,Rui Silva,,,30.0,1994.0,15.0,1,0,0,1,2,0,0,0,0,0,1,0,25,2,0,100.0
ESP-La Liga,2425,Betis,Sergi Altimira,,,22.0,2001.0,21.9,4,0,0,35,33,0,5,24,37,1,0,0,117,11,22,33.3
ESP-La Liga,2425,Betis,Sergio Arribas,,,21.0,2003.0,1.0,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100.0
ESP-La Liga,2425,Betis,Vitor Roque,,,19.0,2005.0,13.7,4,0,0,30,30,5,6,7,6,2,0,0,35,15,29,34.1
ESP-La Liga,2425,Betis,William Carvalho,,,32.0,1992.0,5.4,1,0,0,7,3,0,2,3,6,0,0,0,29,6,5,54.5
ESP-La Liga,2425,Betis,Youssouf Sabaly,,,31.0,1993.0,17.6,1,0,0,18,12,1,31,13,25,0,0,0,87,9,13,40.9
ESP-La Liga,2425,Betis,Ángel Ortíz,,,20.0,2004.0,3.9,0,0,0,6,6,0,19,5,8,0,0,0,16,5,7,41.7
ESP-La Liga,2425,Celta Vigo,Alfon,,,25.0,1999.0,15.2,1,1,0,15,31,6,40,5,3,1,0,0,37,3,14,17.6
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,,,24.0,1999.0,7.8,2,0,0,10,27,9,1,3,4,0,0,0,15,14,23,37.8
ESP-La Liga,2425,Celta Vigo,Borja Iglesias,,,31.0,1993.0,21.7,2,0,0,40,34,14,6,7,9,2,0,0,46,14,27,34.1
ESP-La Liga,2425,Celta Vigo,Carl Starfelt,,,29.0,1995.0,25.2,5,0,0,21,11,0,0,31,20,0,0,0,77,60,51,54.1
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,,,23.0,2001.0,13.1,1,0,0,8,10,0,0,13,11,0,0,1,45,28,15,65.1
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,,,21.0,2003.0,10.3,3,0,0,13,9,0,30,7,9,0,0,0,49,0,4,0.0
ESP-La Liga,2425,Celta Vigo,Fer López,,,,,7.5,2,0,0,13,8,2,2,2,5,0,0,0,25,2,9,18.2
ESP-La Liga,2425,Celta Vigo,Fran Beltrán,,,25.0,1999.0,26.9,3,0,0,34,12,0,5,26,35,0,1,0,119,19,27,41.3
ESP-La Liga,2425,Celta Vigo,Franco Cervi,,,30.0,1994.0,3.0,1,0,0,4,1,0,6,8,3,0,0,0,12,4,6,40.0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,,,20.0,2003.0,13.9,5,0,0,19,9,1,50,5,17,0,0,0,71,2,10,16.7
ESP-La Liga,2425,Celta Vigo,Hugo Álvarez,,,21.0,2003.0,17.5,6,0,0,25,16,3,31,8,9,0,1,0,78,6,12,33.3
ESP-La Liga,2425,Celta Vigo,Iago Aspas,,,36.0,1987.0,19.4,6,1,1,16,34,5,15,8,8,1,0,0,55,7,8,46.7
ESP-La Liga,2425,Celta Vigo,Iker Losada,,,22.0,2001.0,4.0,2,0,0,3,0,0,5,1,3,0,0,0,8,2,7,22.2
ESP-La Liga,2425,Celta Vigo,Ilaix Moriba,,,21.0,2003.0,23.7,9,1,1,32,58,2,6,14,42,1,0,0,108,24,25,49.0
ESP-La Liga,2425,Celta Vigo,Iván Villar,,,27.0,1997.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,50.0
ESP-La Liga,2425,Celta Vigo,Jailson Siqueira,,,28.0,1995.0,6.8,2,0,0,4,4,0,1,9,11,0,0,1,32,18,17,51.4
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,,,21.0,2003.0,27.9,7,0,0,37,22,0,4,33,38,0,0,0,87,40,35,53.3
ESP-La Liga,2425,Celta Vigo,Javier Manquillo,,,30.0,1994.0,5.7,1,0,0,9,1,0,3,7,5,0,0,0,18,5,8,38.5
ESP-La Liga,2425,Celta Vigo,Jonathan Bamba,,,28.0,1996.0,9.0,1,0,0,7,17,4,25,5,7,0,0,0,52,5,10,33.3
ESP-La Liga,2425,Celta Vigo,Joseph Aidoo,,,28.0,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2425,Celta Vigo,Luca de la Torre,,,26.0,1998.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,,,33.0,1990.0,29.4,10,2,1,31,28,2,42,34,21,0,1,0,176,70,42,62.5
ESP-La Liga,2425,Celta Vigo,Mihailo Ristić,,,28.0,1995.0,4.8,1,0,0,8,2,0,13,2,7,0,0,0,17,3,9,25.0
ESP-La Liga,2425,Celta Vigo,Pablo Durán,,,23.0,2001.0,15.5,3,0,0,32,18,7,18,8,9,0,0,0,46,13,32,28.9
ESP-La Liga,2425,Celta Vigo,Sergio Carreira,,,23.0,2000.0,18.4,1,0,0,19,7,3,41,17,16,0,0,0,66,3,14,17.6
ESP-La Liga,2425,Celta Vigo,Tadeo Allende,,,25.0,1999.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,,,37.0,1987.0,34.0,0,0,0,0,5,0,0,0,0,0,0,0,75,10,0,100.0
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,,,20.0,2004.0,15.0,1,0,0,21,32,7,18,3,16,0,0,0,46,8,15,34.8
ESP-La Liga,2425,Celta Vigo,Yoel Lago,,,20.0,2004.0,6.5,2,0,0,16,9,0,0,4,8,0,1,0,22,3,6,33.3
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,,,25.0,1999.0,30.3,6,1,0,24,31,2,139,22,24,1,0,0,138,11,11,50.0
