,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2425,Lens,Martin Satriano,URU,"FW,DF",23,2001,1.0,52,1,10,16,26,11,52,2,1,50.0,1,50.0,24,127,41,2,2,1,5,2,35,14
FRA-Ligue 1,2425,Lens,Mathew Ryan,AUS,GK,32,1992,14.0,439,364,435,4,0,0,439,0,0,,0,,273,1207,642,0,0,0,0,1,200,0
FRA-Ligue 1,2425,Lens,Nampalys Mendy,SEN,MF,32,1992,6.5,357,11,77,222,58,3,357,4,1,25.0,3,75.0,204,808,338,2,5,0,7,9,245,3
FRA-Ligue 1,2425,Lens,Neil El Aynaoui,FRA,MF,23,2001,17.6,1196,54,272,653,281,25,1193,21,5,23.8,11,52.4,582,2674,1014,11,13,2,25,21,761,29
FRA-Ligue 1,2425,Lens,Przemysław Frankowski,POL,DF,29,1995,15.4,1230,42,240,546,454,38,1228,16,6,37.5,9,56.3,637,3033,1514,33,35,2,16,8,800,95
FRA-Ligue 1,2425,Lens,Rayan Fofana,FRA,"FW,MF",18,2006,0.3,14,0,3,7,5,0,14,1,0,0.0,1,100.0,7,36,3,0,0,0,1,0,6,2
FRA-Ligue 1,2425,Lens,Ruben Aguilar,FRA,"DF,MF",31,1993,12.5,996,27,253,430,320,30,996,21,9,42.9,9,42.9,518,2371,1309,32,21,5,19,6,612,101
FRA-Ligue 1,2425,Lens,Rémy Labeau Lascary,GLP,"FW,MF",21,2003,7.1,275,3,37,92,151,31,275,26,12,46.2,13,50.0,162,900,355,17,7,9,32,7,198,71
FRA-Ligue 1,2425,Lens,Tom Pouilly,FRA,"DF,MF",21,2003,3.0,257,6,66,114,79,9,257,3,2,66.7,0,0.0,152,688,326,12,6,3,7,0,171,34
FRA-Ligue 1,2425,Lens,Wesley Saïd,FRA,FW,29,1995,10.1,325,3,21,151,156,41,325,19,9,47.4,10,52.6,185,884,419,16,10,8,18,9,239,53
FRA-Ligue 1,2425,Lille,Aaron Malouda,FRA,FW,18,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0
FRA-Ligue 1,2425,Lille,Alexsandro Ribeiro,BRA,DF,24,1999,30.0,2712,300,1098,1508,125,38,2712,8,5,62.5,2,25.0,1737,9066,5419,25,28,0,22,10,1982,8
FRA-Ligue 1,2425,Lille,André Gomes,POR,MF,31,1993,14.2,1086,28,178,681,232,13,1086,24,10,41.7,14,58.3,632,2379,1075,18,19,0,25,19,862,28
FRA-Ligue 1,2425,Lille,Angel Gomes,ENG,MF,23,2000,8.2,410,2,40,224,150,18,409,10,5,50.0,4,40.0,249,1322,668,15,17,3,11,3,330,47
FRA-Ligue 1,2425,Lille,Ayyoub Bouaddi,FRA,MF,16,2007,12.8,703,30,149,378,181,14,703,29,14,48.3,14,48.3,383,1829,682,11,9,3,34,15,474,26
FRA-Ligue 1,2425,Lille,Aïssa Mandi,ALG,DF,32,1991,19.3,1395,97,469,774,152,22,1395,4,3,75.0,1,25.0,736,2873,1432,12,13,0,8,4,990,21
FRA-Ligue 1,2425,Lille,Bafodé Diakité,FRA,DF,23,2001,30.7,2475,199,973,1416,92,21,2475,9,9,100.0,0,0.0,1606,7489,4516,15,15,0,13,6,1891,3
FRA-Ligue 1,2425,Lille,Benjamin André,FRA,MF,33,1990,29.9,2267,72,392,1462,430,45,2267,22,9,40.9,11,50.0,1153,5343,2593,29,33,1,45,33,1556,72
FRA-Ligue 1,2425,Lille,Chuba Akpom,ENG,FW,28,1995,7.1,165,4,13,76,79,30,163,9,4,44.4,4,44.4,80,422,192,6,4,2,12,5,113,38
FRA-Ligue 1,2425,Lille,Edon Zhegrova,KVX,"FW,MF",25,1999,10.9,524,0,29,156,346,35,524,55,23,41.8,30,54.5,360,2623,1236,37,31,18,23,29,396,81
FRA-Ligue 1,2425,Lille,Ethan Mbappé,FRA,"MF,FW",17,2006,2.5,177,1,13,64,100,17,177,8,3,37.5,4,50.0,107,618,240,6,4,4,9,5,136,32
FRA-Ligue 1,2425,Lille,Gabriel Gudmundsson,SWE,DF,25,1999,19.8,1267,69,325,547,406,38,1267,51,20,39.2,25,49.0,728,4944,2667,71,41,9,20,19,837,115
FRA-Ligue 1,2425,Lille,Hákon Arnar Haraldsson,ISL,"MF,FW",21,2003,19.5,1136,15,111,502,533,77,1136,49,27,55.1,21,42.9,715,4265,2002,52,45,11,42,13,872,143
FRA-Ligue 1,2425,Lille,Ismaily,BRA,DF,34,1990,10.0,778,34,184,418,185,22,778,19,8,42.1,11,57.9,384,1949,1112,15,13,2,13,10,480,51
FRA-Ligue 1,2425,Lille,Jonathan David,CAN,FW,24,2000,28.4,952,16,56,396,507,145,945,42,20,47.6,20,47.6,518,2432,1154,40,25,20,68,40,717,184
FRA-Ligue 1,2425,Lille,Lucas Chevalier,FRA,GK,22,2001,34.0,1150,914,1144,7,0,0,1150,0,0,,0,,736,3821,2320,0,0,0,0,0,645,0
FRA-Ligue 1,2425,Lille,Matias Fernandez-Pardo,BEL,"FW,MF",19,2005,11.8,429,7,38,137,267,51,429,50,20,40.0,26,52.0,285,2428,1270,46,30,26,23,13,311,85
FRA-Ligue 1,2425,Lille,Mitchel Bakker,NED,"FW,DF",24,2000,12.7,758,12,101,328,334,32,758,21,11,52.4,9,42.9,439,2124,1132,43,20,7,18,11,547,120
FRA-Ligue 1,2425,Lille,Mohamed Lamine Bayo,GUI,FW,26,1998,3.4,98,4,8,46,44,17,98,4,2,50.0,2,50.0,59,272,107,4,4,3,13,5,70,20
FRA-Ligue 1,2425,Lille,Nabil Bentaleb,ALG,MF,29,1994,3.7,277,15,83,149,46,2,277,0,0,,0,,130,520,252,2,3,1,2,4,203,5
FRA-Ligue 1,2425,Lille,Ngal'Ayel Mukau,COD,MF,19,2004,13.2,778,19,115,466,201,16,778,17,9,52.9,8,47.1,426,1779,851,19,18,3,18,8,570,43
FRA-Ligue 1,2425,Lille,Osame Sahraoui,MAR,"FW,MF",23,2001,14.4,804,11,58,300,456,67,804,79,35,44.3,43,54.4,535,3452,1750,69,39,23,39,23,631,159
FRA-Ligue 1,2425,Lille,Ousmane Toure,FRA,DF,19,2005,0.1,8,0,4,4,0,0,8,0,0,,0,,4,23,1,0,0,0,0,0,2,0
FRA-Ligue 1,2425,Lille,Rémy Cabella,FRA,"FW,MF",34,1990,11.2,900,6,75,357,483,51,900,38,19,50.0,18,47.4,546,2893,1530,45,35,12,16,10,667,130
FRA-Ligue 1,2425,Lille,Thomas Meunier,BEL,DF,32,1991,21.4,1736,71,393,840,514,58,1736,28,14,50.0,13,46.4,899,5120,2521,64,49,5,24,11,1122,148
FRA-Ligue 1,2425,Lille,Tiago Santos,POR,DF,22,2002,4.5,285,6,50,116,120,21,285,21,12,57.1,8,38.1,191,1183,661,24,17,4,13,3,206,43
FRA-Ligue 1,2425,Lille,Younes Lachaab,FRA,"MF,FW",19,2005,0.1,8,0,0,0,8,4,8,1,1,100.0,0,0.0,3,31,12,1,0,1,2,0,3,1
FRA-Ligue 1,2425,Lyon,Abner,BRA,DF,24,2000,12.1,791,40,207,361,225,22,791,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55
FRA-Ligue 1,2425,Lyon,Adryelson,BRA,DF,26,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Lyon,Ainsley Maitland-Niles,ENG,DF,26,1997,22.1,1509,67,433,666,419,68,1509,40,17,42.5,21,52.5,750,3064,1530,33,22,10,28,20,916,110
FRA-Ligue 1,2425,Lyon,Alejandro Rodriguez,POR,MF,16,2008,0.2,8,0,0,1,7,4,8,0,0,,0,,1,0,0,0,0,0,1,0,2,1
FRA-Ligue 1,2425,Lyon,Alexandre Lacazette,FRA,FW,33,1991,22.8,742,11,50,281,416,137,736,31,14,45.2,15,48.4,418,1475,575,24,11,10,51,20,572,159
FRA-Ligue 1,2425,Lyon,Clinton Mata,ANG,DF,31,1992,26.3,1877,188,788,936,167,14,1877,30,14,46.7,14,46.7,1168,6040,3488,20,17,0,15,10,1287,23
FRA-Ligue 1,2425,Lyon,Corentin Tolisso,FRA,MF,29,1994,25.9,1917,79,330,1056,548,88,1917,21,11,52.4,10,47.6,1073,4704,2148,31,35,3,31,20,1409,133
FRA-Ligue 1,2425,Lyon,Duje Ćaleta-Car,CRO,DF,27,1996,17.6,1178,205,601,546,34,21,1178,2,1,50.0,1,50.0,672,2869,1409,4,1,0,7,2,783,0
FRA-Ligue 1,2425,Lyon,Ernest Nuamah,GHA,"FW,MF",20,2003,11.7,597,13,100,214,300,51,597,43,22,51.2,19,44.2,388,2425,1388,44,26,18,31,22,431,131
FRA-Ligue 1,2425,Lyon,Georges Mikautadze,GEO,FW,23,2000,16.1,653,9,45,259,357,119,649,59,17,28.8,39,66.1,402,2305,919,37,16,21,49,20,510,140
FRA-Ligue 1,2425,Lyon,Gift Orban,NGA,"FW,DF",22,2002,2.1,49,0,6,13,30,10,49,5,2,40.0,3,60.0,26,108,36,1,0,1,6,0,35,12
FRA-Ligue 1,2425,Lyon,Jordan Veretout,FRA,MF,31,1993,17.3,1085,32,210,639,249,28,1085,9,5,55.6,3,33.3,597,2807,1362,35,18,6,22,7,770,60
FRA-Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,26,1997,33.0,1123,937,1113,10,0,0,1123,0,0,,0,,696,3170,2124,0,0,0,1,2,576,0
FRA-Ligue 1,2425,Lyon,Mahamadou Diawara,FRA,MF,19,2005,0.2,9,0,0,8,2,1,9,0,0,,0,,2,36,28,1,1,0,0,1,3,0
FRA-Ligue 1,2425,Lyon,Malick Fofana,BEL,FW,19,2005,17.7,828,7,79,284,487,95,828,59,24,40.7,31,52.5,587,4362,2643,112,57,39,36,18,645,205
FRA-Ligue 1,2425,Lyon,Mama Samba Baldé,GNB,FW,28,1995,0.4,15,1,2,6,7,2,15,3,0,0.0,3,100.0,7,65,28,1,1,0,1,1,9,2
FRA-Ligue 1,2425,Lyon,Maxence Caqueret,FRA,MF,24,2000,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,211,1191,537,14,10,2,15,10,304,15
FRA-Ligue 1,2425,Lyon,Moussa Niakhate,SEN,DF,28,1996,30.3,2133,277,1034,1032,77,7,2133,3,3,100.0,0,0.0,1331,7461,4792,34,14,0,9,4,1510,5
FRA-Ligue 1,2425,Lyon,Nemanja Matić,SRB,MF,35,1988,22.3,1569,70,364,972,245,32,1569,13,8,61.5,5,38.5,979,5114,2655,35,35,8,13,21,1165,15
FRA-Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,31,1992,21.1,1582,77,454,786,350,46,1582,8,1,12.5,4,50.0,822,3159,1666,31,27,4,21,4,1024,81
FRA-Ligue 1,2425,Lyon,Orel Mangala,BEL,MF,26,1998,0.7,42,1,5,27,10,2,42,3,0,0.0,3,100.0,26,128,62,1,0,0,0,0,29,3
FRA-Ligue 1,2425,Lyon,Paul Akouokou,CIV,MF,26,1997,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0
FRA-Ligue 1,2425,Lyon,Rayan Cherki,FRA,"FW,MF",20,2003,22.7,1573,6,120,653,826,132,1573,97,48,49.5,43,44.3,1021,6454,3610,106,91,41,48,43,1234,184
FRA-Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996,1.0,34,28,32,2,0,0,34,0,0,,0,,25,88,54,0,0,0,0,0,21,0
FRA-Ligue 1,2425,Lyon,Sael Kumbedi,FRA,DF,19,2005,10.6,629,28,181,269,180,20,629,22,9,40.9,12,54.5,324,1392,871,23,15,6,10,11,419,71
FRA-Ligue 1,2425,Lyon,Saïd Benrahma,ALG,"FW,MF",28,1995,8.2,447,2,44,169,240,34,447,29,8,27.6,20,69.0,286,1930,956,41,20,15,15,11,346,109
FRA-Ligue 1,2425,Lyon,Tanner Tessmann,USA,MF,22,2001,13.7,915,49,226,526,174,20,915,20,10,50.0,9,45.0,575,2551,1167,11,16,1,12,11,679,27
FRA-Ligue 1,2425,Lyon,Thiago Almada,ARG,"MF,FW",23,2001,10.6,831,19,136,382,318,31,831,14,8,57.1,5,35.7,568,2957,1483,38,34,10,17,9,652,50
FRA-Ligue 1,2425,Lyon,Téo Barisic,FRA,DF,19,2004,0.0,2,1,2,0,0,0,2,0,0,,0,,1,0,0,0,0,0,0,0,1,0
FRA-Ligue 1,2425,Lyon,Warmed Omari,COM,DF,24,2000,0.1,7,0,7,0,0,0,7,0,0,,0,,3,6,4,0,0,0,0,0,5,0
FRA-Ligue 1,2425,Lyon,Wilfried Zaha,CIV,FW,31,1992,0.8,49,0,2,22,26,4,49,5,3,60.0,2,40.0,30,100,23,1,0,1,2,6,39,9
FRA-Ligue 1,2425,Marseille,Adrien Rabiot,FRA,MF,29,1995,27.6,1822,36,227,967,644,100,1822,50,26,52.0,23,46.0,1096,5837,2815,79,52,16,52,31,1445,174
FRA-Ligue 1,2425,Marseille,Amar Dedić,BIH,DF,21,2002,3.5,282,6,41,104,141,17,282,19,9,47.4,10,52.6,180,1311,748,21,12,5,8,8,194,46
FRA-Ligue 1,2425,Marseille,Amine Gouiri,ALG,"FW,MF",24,2000,11.6,472,3,15,150,311,82,472,22,10,45.5,11,50.0,248,1021,451,17,10,11,22,15,328,97
FRA-Ligue 1,2425,Marseille,Amine Harit,MAR,MF,27,1997,5.8,313,1,26,159,131,20,313,20,8,40.0,9,45.0,221,1151,563,13,16,4,15,12,259,34
FRA-Ligue 1,2425,Marseille,Bamo Meïté,CIV,DF,22,2001,0.3,31,1,22,9,0,0,31,1,0,0.0,1,100.0,21,42,20,0,0,0,0,0,24,0
FRA-Ligue 1,2425,Marseille,Bilal Nadir,MAR,MF,20,2003,4.3,305,7,44,159,107,11,305,9,4,44.4,2,22.2,167,1027,563,18,12,3,7,8,232,25
FRA-Ligue 1,2425,Marseille,Darryl Bakola,FRA,"DF,MF",16,2007,0.2,15,0,4,6,5,0,15,1,0,0.0,1,100.0,9,49,23,0,1,0,0,1,14,0
FRA-Ligue 1,2425,Marseille,Derek Cornelius,CAN,DF,26,1997,15.8,1493,107,532,883,81,14,1493,2,0,0.0,2,100.0,1012,4273,2384,10,13,0,8,2,1163,11
FRA-Ligue 1,2425,Marseille,Elye Wahi,FRA,FW,21,2003,6.4,161,0,8,87,67,30,160,10,2,20.0,8,80.0,103,423,177,7,0,5,15,11,126,41
FRA-Ligue 1,2425,Marseille,Emmanuel Koum Mbondo,FRA,DF,18,2006,0.1,9,0,3,5,1,0,9,0,0,,0,,4,12,2,0,0,0,0,1,8,0
FRA-Ligue 1,2425,Marseille,Enzo Sternal,FRA,"FW,MF",17,2007,0.3,13,0,1,10,2,0,13,3,1,33.3,2,66.7,10,30,13,0,0,0,2,0,12,0
FRA-Ligue 1,2425,Marseille,Faris Pemi Moumbagna,CMR,FW,24,2000,0.1,0,0,0,0,0,0,0,0,0,,0,,1,2,0,0,0,0,0,1,1,0
FRA-Ligue 1,2425,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",31,1993,22.4,2013,155,672,1133,214,15,2013,15,10,66.7,4,26.7,1301,5734,3107,20,33,0,13,13,1550,11
FRA-Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,32,1992,34.0,1300,1008,1285,15,0,0,1300,0,0,,0,,789,3335,1782,0,0,0,1,0,758,0
FRA-Ligue 1,2425,Marseille,Ismaël Bennacer,ALG,MF,26,1997,7.2,870,7,105,578,195,1,870,11,7,63.6,4,36.4,552,2435,1141,14,24,1,7,14,722,8
FRA-Ligue 1,2425,Marseille,Ismaël Koné,CAN,"MF,FW",22,2002,4.0,221,6,43,115,65,5,221,8,2,25.0,6,75.0,131,659,237,2,5,2,4,6,170,10
FRA-Ligue 1,2425,Marseille,Jon Rowe,ENG,"FW,MF",21,2003,9.0,438,3,32,141,269,55,438,48,20,41.7,25,52.1,294,1748,917,30,16,11,35,13,342,96
FRA-Ligue 1,2425,Marseille,Keyliane Abdallah,FRA,FW,18,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0
FRA-Ligue 1,2425,Marseille,Leonardo Balerdi,ARG,DF,25,1999,25.3,2767,209,1085,1623,78,21,2767,32,22,68.8,10,31.3,1752,7762,4916,13,15,2,20,13,2183,5
FRA-Ligue 1,2425,Marseille,Lilian Brassier,FRA,DF,24,1999,8.7,732,59,303,382,48,11,732,9,1,11.1,6,66.7,447,2283,1109,11,8,0,9,4,532,8
FRA-Ligue 1,2425,Marseille,Luis Henrique,BRA,"DF,FW",22,2001,29.0,1643,32,245,657,761,79,1643,91,51,56.0,38,41.8,1015,5423,2928,84,55,29,30,19,1282,280
FRA-Ligue 1,2425,Marseille,Luiz Felipe,ITA,DF,27,1997,1.4,86,7,36,46,5,0,86,2,1,50.0,1,50.0,47,197,95,0,0,0,1,0,55,0
FRA-Ligue 1,2425,Marseille,Mason Greenwood,ENG,"FW,MF",22,2001,31.2,1746,4,107,726,929,151,1737,129,54,41.9,66,51.2,1214,7040,3609,126,71,67,63,44,1451,295
FRA-Ligue 1,2425,Marseille,Michael Amir Murillo,PAN,DF,28,1996,27.1,2135,83,601,1205,339,33,2135,27,14,51.9,13,48.1,1169,4743,2430,43,33,8,28,10,1458,100
FRA-Ligue 1,2425,Marseille,Neal Maupay,FRA,FW,27,1996,11.6,386,2,20,198,174,48,386,14,6,42.9,7,50.0,201,989,397,12,14,7,34,20,300,81
FRA-Ligue 1,2425,Marseille,Pierre Højbjerg,DEN,MF,28,1995,29.6,3174,80,638,2071,487,49,3174,24,7,29.2,16,66.7,1950,8198,4084,36,33,6,33,25,2594,43
FRA-Ligue 1,2425,Marseille,Pol Lirola,ESP,DF,26,1997,7.6,460,18,118,214,131,14,460,3,1,33.3,2,66.7,248,1070,518,12,7,4,6,4,305,40
FRA-Ligue 1,2425,Marseille,Quentin Merlin,FRA,DF,22,2002,17.7,1296,17,207,566,535,49,1296,19,4,21.1,13,68.4,732,3338,1591,40,30,9,20,9,924,169
FRA-Ligue 1,2425,Marseille,Robinio Vaz,FRA,FW,17,2007,0.8,20,1,2,1,17,9,20,1,0,0.0,1,100.0,12,79,34,3,0,2,1,1,14,6
FRA-Ligue 1,2425,Marseille,Ulisses Garcia,SUI,DF,28,1996,10.3,712,24,152,357,206,21,712,18,7,38.9,11,61.1,386,1759,858,23,10,1,15,11,480,87
FRA-Ligue 1,2425,Marseille,Valentin Carboni,ARG,"MF,FW",19,2005,1.1,81,1,6,35,40,2,81,3,0,0.0,3,100.0,51,304,100,4,4,0,2,0,69,8
FRA-Ligue 1,2425,Marseille,Valentin Rongier,FRA,"MF,DF",29,1994,17.4,1602,51,347,977,288,13,1602,16,11,68.8,5,31.3,896,3281,1761,25,25,4,19,17,1226,28
FRA-Ligue 1,2425,Monaco,Aleksandr Golovin,RUS,"MF,FW",28,1996,12.8,840,7,108,444,302,31,840,37,22,59.5,12,32.4,504,2977,1536,39,36,9,27,18,563,72
FRA-Ligue 1,2425,Monaco,Almoatasem Al Musrati,LBY,MF,28,1996,4.3,339,6,55,209,76,7,339,4,2,50.0,2,50.0,195,757,401,2,5,0,3,2,237,5
FRA-Ligue 1,2425,Monaco,Breel Embolo,SUI,"FW,MF",27,1997,20.5,668,13,57,289,329,121,668,42,14,33.3,25,59.5,397,1708,715,22,15,12,64,53,499,140
FRA-Ligue 1,2425,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27,1997,21.4,1571,53,366,719,513,36,1571,19,14,73.7,5,26.3,787,4052,2352,57,58,5,26,7,916,142
FRA-Ligue 1,2425,Monaco,Christian Mawissa,FRA,DF,19,2005,16.7,1138,101,436,653,64,6,1138,28,10,35.7,16,57.1,718,3790,1745,13,12,1,18,11,768,10
FRA-Ligue 1,2425,Monaco,Denis Zakaria,SUI,MF,27,1996,23.8,1425,60,280,912,255,40,1423,36,21,58.3,13,36.1,823,3741,1818,27,30,8,35,23,972,36
FRA-Ligue 1,2425,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",19,2005,19.4,1244,3,96,542,624,63,1242,96,35,36.5,55,57.3,843,5569,3024,85,83,25,59,35,988,170
FRA-Ligue 1,2425,Monaco,Eliot Matazo,BEL,MF,22,2002,0.8,54,2,8,39,7,0,54,3,0,0.0,3,100.0,23,94,31,0,0,0,3,0,31,3
FRA-Ligue 1,2425,Monaco,Folarin Balogun,USA,FW,23,2001,6.8,220,0,6,91,126,51,220,18,4,22.2,12,66.7,143,889,408,21,12,12,33,13,178,73
FRA-Ligue 1,2425,Monaco,George Ilenikhena,NGA,FW,17,2006,8.0,189,0,9,68,114,36,189,17,3,17.6,12,70.6,121,492,199,8,5,5,12,16,163,58
FRA-Ligue 1,2425,Monaco,Ismail Jakobs,SEN,DF,24,1999,2.0,121,6,25,50,46,1,121,0,0,,0,,67,503,228,9,7,1,0,0,77,17
FRA-Ligue 1,2425,Monaco,Jordan Teze,NED,DF,24,1999,6.3,434,15,100,215,124,15,434,10,5,50.0,4,40.0,171,797,452,9,11,2,8,3,237,41
FRA-Ligue 1,2425,Monaco,Kassoum Ouattara,FRA,"DF,FW",19,2004,4.3,274,4,56,131,88,9,274,15,5,33.3,9,60.0,137,734,399,15,3,4,12,7,151,35
FRA-Ligue 1,2425,Monaco,Krépin Diatta,SEN,"DF,FW",25,1999,5.6,373,14,72,192,114,9,373,13,8,61.5,4,30.8,205,1254,693,17,13,1,10,2,230,41
FRA-Ligue 1,2425,Monaco,Lamine Camara,SEN,MF,20,2004,22.8,1743,33,258,1086,413,16,1743,25,12,48.0,8,32.0,967,4625,1914,25,29,3,41,23,1170,46
FRA-Ligue 1,2425,Monaco,Lucas Michal,FRA,"FW,MF",19,2005,1.3,64,2,7,25,35,6,64,4,1,25.0,2,50.0,38,269,140,4,6,1,1,3,44,11
FRA-Ligue 1,2425,Monaco,Maghnes Akliouche,FRA,"FW,MF",22,2002,26.7,1566,22,150,644,794,156,1565,103,50,48.5,50,48.5,999,6581,3653,127,98,47,78,47,1149,226
FRA-Ligue 1,2425,Monaco,Mamadou Coulibaly,FRA,MF,20,2004,0.1,9,0,1,5,3,0,9,2,1,50.0,0,0.0,4,24,10,0,0,0,1,0,6,1
FRA-Ligue 1,2425,Monaco,Mika Biereth,DEN,FW,21,2003,13.6,382,4,15,125,243,98,380,11,1,9.1,9,81.8,212,817,354,14,8,5,39,16,286,110
FRA-Ligue 1,2425,Monaco,Mohammed Salisu,GHA,DF,25,1999,11.4,905,106,372,510,25,14,905,1,0,0.0,1,100.0,545,2800,1519,8,2,0,6,1,596,3
FRA-Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,26,1998,19.0,580,477,576,4,0,0,580,0,0,,0,,353,1863,967,0,0,0,0,0,281,0
FRA-Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,24,1999,15.0,434,363,425,9,0,0,434,0,0,,0,,233,1219,725,0,0,0,0,0,181,0
FRA-Ligue 1,2425,Monaco,Saïmon Bouabré,FRA,"MF,FW",18,2006,1.1,36,2,7,18,11,1,36,2,0,0.0,1,50.0,27,156,69,3,3,1,2,2,29,5
FRA-Ligue 1,2425,Monaco,Soungoutou Magassa,FRA,MF,20,2003,11.4,781,29,164,519,107,8,781,23,15,65.2,6,26.1,386,1720,749,6,9,1,12,13,500,11
FRA-Ligue 1,2425,Monaco,Takumi Minamino,JPN,"MF,FW",29,1995,24.8,1016,24,95,451,479,135,1016,40,12,30.0,24,60.0,567,3076,1496,51,28,27,56,23,709,193
FRA-Ligue 1,2425,Monaco,Thilo Kehrer,GER,DF,27,1996,26.5,2060,187,852,1153,61,17,2060,3,1,33.3,1,33.3,1193,5962,3512,16,8,0,6,2,1419,2
FRA-Ligue 1,2425,Monaco,Vanderson,BRA,DF,23,2001,22.9,1714,71,400,846,480,64,1714,48,24,50.0,20,41.7,876,4196,2211,57,31,13,38,14,976,151
FRA-Ligue 1,2425,Monaco,Wilfried Singo,CIV,DF,23,2000,23.3,1703,141,637,965,125,29,1703,13,6,46.2,6,46.2,951,5285,3094,35,22,4,11,7,1091,27
FRA-Ligue 1,2425,Montpellier,Akor Adams,NGA,FW,24,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45
FRA-Ligue 1,2425,Montpellier,Andy Delort,ALG,FW,32,1991,6.7,171,4,12,69,91,24,171,5,3,60.0,2,40.0,90,342,172,4,2,2,16,8,130,20
FRA-Ligue 1,2425,Montpellier,Arnaud Nordin,FRA,FW,26,1998,13.0,499,6,63,190,259,49,497,51,23,45.1,23,45.1,323,2372,1247,51,21,22,37,14,359,111
FRA-Ligue 1,2425,Montpellier,Axel Gueguin,FRA,FW,19,2005,0.3,9,0,2,3,4,1,9,1,0,0.0,1,100.0,2,4,1,0,0,0,1,0,4,1
FRA-Ligue 1,2425,Montpellier,Bamo Meïté,CIV,DF,22,2001,4.7,210,25,112,85,13,2,210,2,1,50.0,1,50.0,99,405,208,1,2,0,3,3,142,1
FRA-Ligue 1,2425,Montpellier,Becir Omeragic,SUI,DF,22,2002,20.0,1084,158,496,550,48,8,1084,14,11,78.6,3,21.4,609,3647,1956,21,7,1,6,4,723,3
FRA-Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,33,1991,30.0,1090,856,1074,17,0,0,1090,0,0,,0,,595,3708,2382,0,0,0,1,0,534,0
FRA-Ligue 1,2425,Montpellier,Birama Touré,MLI,"MF,DF",32,1992,3.3,157,21,71,65,22,3,157,0,0,,0,,86,287,71,0,1,1,6,0,99,2
FRA-Ligue 1,2425,Montpellier,Boubakar Kouyaté,MLI,DF,27,1997,8.4,375,53,183,178,16,9,375,0,0,,0,,174,963,416,3,1,0,3,0,212,0
FRA-Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26,1998,4.0,122,104,122,0,0,0,122,0,0,,0,,63,344,194,0,0,0,0,0,50,0
FRA-Ligue 1,2425,Montpellier,Enzo Tchato,CMR,DF,21,2002,21.1,1204,79,346,577,295,14,1204,14,6,42.9,7,50.0,532,3083,1735,44,34,3,16,5,670,95
FRA-Ligue 1,2425,Montpellier,Falaye Sacko,MLI,DF,29,1995,13.7,734,40,213,368,163,8,734,9,2,22.2,7,77.8,371,1852,956,21,12,4,9,1,421,34
FRA-Ligue 1,2425,Montpellier,Gabriel Bares,SUI,"MF,DF",23,2000,0.6,49,3,10,32,8,2,49,2,1,50.0,1,50.0,27,136,31,1,0,0,0,1,33,0
FRA-Ligue 1,2425,Montpellier,Issiaga Sylla,GUI,DF,30,1994,12.8,683,50,191,338,161,14,683,15,9,60.0,6,40.0,335,1985,1097,33,23,1,16,8,394,46
FRA-Ligue 1,2425,Montpellier,Jordan Ferri,FRA,MF,32,1992,19.7,1433,35,316,869,265,13,1433,28,9,32.1,16,57.1,802,3793,1663,19,16,2,16,27,1066,42
FRA-Ligue 1,2425,Montpellier,Joris Chotard,FRA,MF,22,2001,21.0,1012,79,296,560,162,9,1012,16,8,50.0,8,50.0,489,2324,970,20,13,0,15,11,579,35
FRA-Ligue 1,2425,Montpellier,Junior Ndiaye,FRA,FW,19,2005,4.9,124,2,10,63,51,16,124,8,2,25.0,4,50.0,61,327,142,5,4,5,14,4,90,26
